komentar,clean_text,sentiment
Mantap keren abis anak saya suka 🥰🥰🥰,mantap keren abis anak saya suka,positif
produk nya bagus banget sama sangat puas,produk nya bagus banget sama sangat puas,positif
Ga sesuai sama yang di foto sepatu nya penyok kalauboleh saya minta kembaliin aja udah mahal jelek lagi,tidak sesuai sama yang di foto sepatu nya penyok kalauboleh saya minta kembaliin aja udah mahal jelek lagi,negatif
Bagus dan sesuai seperti yg di foto,bagus dan sesuai seperti yang di foto,positif
Barangnya bagus jahitannya juga rapi,barang bagus jahit juga rapi,positif
Alhamdulillah sesuai yang d gambar,alhamdulillah sesuai yang d gambar,positif
Di bawah sepatu nya ada yang bolong,di bawah sepatu nya ada yang bolong,netral
Alhamdulillah sepatu nya udh sampai😋,alhamdulillah sepatu nya udh sampai,netral
Barang bagus.. Cocok.. Mantaap,barang bagus cocok mantaap,positif
Mantap pokonamah sluurr tidak mengecewakan,mantap pokonamah sluurr tidak kecewa,netral
Bagus banget sesuai,bagus banget sesuai,positif
Jelek sablonan sepatu langsung coplok,jelek sablon sepatu langsung coplok,negatif
Bagus sesuai yang ada di gambar,bagus sesuai yang ada di gambar,positif
Alhamdulilah paket SDH sampai anak saya langsung pakai kesekolah,alhamdulilah paket sdh sampai anak saya langsung pakai seko,netral
Sepatu nya mantap anaku sukaaa makasih toko yg amanah,sepatu nya mantap ana sukaaa makasih toko yang amanah,positif
"bahan ORI, nyaman di kaki",bahan ori nyaman di kaki,netral
terima kasih barang sudah sampai sesuai pesanan,terima kasih barang sudah sampai sesuai pesan,positif
Mantap sekali barangnya abang ku,mantap sekali barang abang ku,positif
Mantapppppppppp0ppppppppppppppppppppppppppppp0pppppppppppppp,mantappppppppppppppppppppppppppppppppppppppppppppppppppppp,positif
Alhamdulilah sesuai dengan psenannya,alhamdulilah sesuai dengan psenannya,positif
T.o.p..,top,netral
datang nya sesuai dengan yg di potoo,datang nya sesuai dengan yang di potoo,positif
Barang sesuai yang di harapkan👍👍,barang sesuai yang di harap,positif
Mantap,mantap,positif
sangat baguss,sangat baguss,positif
"Barang cakep, bagussss bintang 7",barang cakep bagussss bintang,positif
Bentuk dan ukuran: Pas,bentuk dan ukur pas,netral
Kerennn🫶🏼👍🏻,kerennn,netral
Bentuk dan ukuran: Bagus,bentuk dan ukur bagus,positif
Sesuai product bagus,sesuai product bagus,positif
baguss bangetttt pokoknya,baguss bangetttt pokok,positif
Uk 44 kecil ya,uk kecil ya,netral
okee mantaff,okee mantaff,netral
"Bagus sesuai, makasih udah amanah",bagus sesuai makasih udah amanah,positif
Bagus bgt sesuai di foto,bagus banget sesuai di foto,positif
Sepatu nya bagus anak saya suka,sepatu nya bagus anak saya suka,positif
"Terimakasih pesanan sudah diterima dengan baik, sesuai, semoga awet",terimakasih pesan sudah terima dengan baik sesuai moga awet,positif
"sesuai pesanan, cakep",sesuai pesan cakep,positif
"Bagus,,sesuai pesanan",bagussesuai pesan,positif
trma kasih paket sudah dtng suka SMA sepatunya semoga awet lah yaa,trma kasih paket sudah dtng suka sma sepatu moga awet lah yaa,netral
ini kw ya,ini kw ya,negatif
lumayan lah tapi salah ukuran kegedean,lumayan lah tapi salah ukur gede,netral
kurang gemuk min,kurang gemuk min,netral
Biar bintang yang bicara 👍🥰🥰,biar bintang yang bicara,netral
Sumpil Bagus banget,sumpil bagus banget,positif
asli keren abis,asli keren abis,netral
Bagus sekali barangnya,bagus sekali barang,positif
Semoga awet,moga awet,netral
"bagus, cepet sampainya",bagus cepet sampai,positif
Sepatu kecil banget,sepatu kecil banget,netral
"Sesuai gambar,bagus bgtt",sesuai gambarbagus bgtt,positif
Cuma kebesaran,cuma besar,netral
Bagus sesuai gambar,bagus sesuai gambar,positif
kece lah,kece lah,netral
Bagus bangettt mantapp,bagus bangettt mantapp,positif
Lumayan tks,lumayan tks,netral
Lumayan dengan harga segitu bagus lah,lumayan dengan harga segitu bagus lah,positif
Barang bagus,barang bagus,positif
Barangnya bagus,barang bagus,positif
Gokillll,gokillll,netral
Sesuai anak saya suka 🥰🥰🥰,sesuai anak saya suka,positif
Bagus sesuai,bagus sesuai,positif
Bagus suka banget,bagus suka banget,positif
Bagussss dan puas banget,bagussss dan puas banget,positif
Bagus bahnnya..semoga awet,bagus bahnnyasemoga awet,positif
Bagus bangat sesuay,bagus bangat sesuay,positif
Sangat bagus,sangat bagus,positif
Cakep,cakep,netral
okeeehh mantapp,okeeehh mantapp,positif
baguss worth it harga segitu,baguss worth it harga segitu,positif
Good sesuai,good sesuai,positif
ragu rugi,ragu rugi,netral
Ok banget,ok banget,netral
Sesuai,sesuai,positif
pas,pas,netral
No bad,no bad,netral
Bagus bang,bagus bang,positif
Bagus,bagus,positif
bagus,bagus,positif
Mantap men,mantap men,positif
Tidak sesuai,tidak sesuai,netral
Kurang,kurang,netral
Baik,baik,positif
B,b,netral
topp cuy,topp cuy,netral
ktce der.,ktce der,netral
"bagus tapi kan saya pesen nomer 39, tapi kayak nomor 40 jadi kegedean bangett",bagus tapi kan saya sen nomer tapi kayak nomor jadi gede bangett,positif
mantap,mantap,positif
Good,good,netral
Ukr 41,ukr,netral
kerenn coyyy,kerenn coyyy,netral
Keponakanku suka,keponakan suka,netral
Semoga amanah,moga amanah,netral
lumayan,lumayan,netral
Bagussss,bagussss,positif
Bagus sepatunya mntaap,bagus sepatu mntaap,positif
Mantep,mantep,netral
Lumayan buat harga segitu,lumayan buat harga segitu,netral
Keren,keren,netral
Kurir nya lambat dateng nya lama,kurir nya lambat dateng nya lama,negatif
"baguss, semoga awett😫😫",baguss moga awett,positif
bgus,bgus,netral
bgusss sesuiii,bgusss sesuiii,netral
𝐵𝑎𝑔𝑢𝑠,,netral
sesuai deskripsi...bahannya sesuai harga x ya....okelah next 5 stars.,sesuai deskripsibahannya sesuai harga x yaokelah next stars,positif
Pasti salah nulis ini pabriknya. Penulisan bahasa inggrisnya salah. Tapi gpp papaku suka sama sepatunya. Murah nyaman. Kasik bintang 4 dah. Karena 5 itu kesempurnaan kesempurnaan hanyalah milik allah swt. Wkwkwk,pasti salah nulis ini pabrik tulis bahasa inggris salah tapi gpp papa suka sama sepatu murah nyaman kasik bintang dah karena itu sempurna sempurna hanya milik allah swt wkwkwk,netral
"Bentuk dan ukuran: bentuk sesuai ukuran pas Aroma: pada umumnya Daya tahan pakai: belum tahu, semoga tahan lama Warna: tidak sesuai, karena difoto gelap pas datang cerah mungkin karena lighting.",bentuk dan ukur bentuk sesuai ukur pas aroma pada umum daya tahan pakai belum tahu moga tahan lama warna tidak sesuai karena foto gelap pas datang cerah mungkin karena lighting,negatif
Sepatunya lumayan bagus tp ada minesnya tapak bolong..,sepatu lumayan bagus tp ada mes tapak bolong,positif
alhamdulillah barang dah sampai.. sesueai pesanan brang bagus banget.. nyaman dipakek solnya karet delemnya empuk.. josslah pokoknya 👍 Bentuk dan ukuran: sesuwai pesanan Aroma: wangi Daya tahan pakai: insyalloh tahan lama,alhamdulillah barang dah sampai sesueai pesan brang bagus banget nyaman dipakek sol karet delemnya empuk josslah pokok bentuk dan ukur sesuwai pesan aroma wangi daya tahan pakai insyalloh tahan lama,netral
Barang bagus tidak mebgecewakan sesuai harga,barang bagus tidak mebgecewakan sesuai harga,positif
"keren lah, sesuai harga. jadi jangan berekspetasi lebih dari harga barang Mudah-mudahan sepatunya awet",keren lah sesuai harga jadi jangan berekspetasi lebih dari harga barang mudahmudahan sepatu awet,positif
"modelnya keren, tapi ukurannya kurang normal, ukuran 43 berasa ukuran 41",model keren tapi ukur kurang normal ukur asa ukur,netral
"Oke barang bagus sesuai ,harga murah tapi barang tidak seperti barang murahan",oke barang bagus sesuai harga murah tapi barang tidak seperti barang murah,positif
"Makasih paket sepatunya udah sampe, barang sesuai , bagus, empuk, cuma kebesaren dikit , kmarin tak naikin 1 ukuran agak kebesaren, tapi gak apa², barang real pict. Mantap semoga awet 👍 Terimakasih",makasih paket sepatu udah sampe barang sesuai bagus empuk cuma kebesaren dikit kmarin tak naikin ukur agak kebesaren tapi gak apa barang real pict mantap moga awet terimakasih,positif
pengemasan oke... barang sesuai pesanan... hanya saja ada sedikit jahitan bagian lidah sepatu yg lepas... selebihnya sih oke...,emas oke barang sesuai pesan hanya saja ada sedikit jahit bagi lidah sepatu yang lepas lebih sih oke,positif
"Warna bagus sesuai pesanan cocok di kaki semoga awet , meskipun pengiriman aga lama tapi paket suda ada dan saya terimah ,trimakasih 🙏",warna bagus sesuai pesan cocok di kaki moga awet meski kirim aga lama tapi paket suda ada dan saya terimah trimakasih,positif
semuannya hampir sama digambar cuma beda di telapak kaki & logo depan sih tp it's ok bagus kok👍🙂,semu hampir sama gambar cuma beda di telapak kaki logo depan sih tp its ok bagus kok,positif
Alhamdulillah sesuai dg gambarnya Tokonya amanah Pengirimannya cepat.,alhamdulillah sesuai dg gambar toko amanah kirim cepat,positif
Kondisi barang rusak.peyok bagian belakang,kondisi barang rusakpeyok bagi belakang,negatif
"Ga sesuai Ekspetasi , Ketika dateng barangnya Tidak semenarik yg di Foto",tidak sesuai ekspetasi ketika dateng barang tidak tarik yang di foto,netral
"Desainnya bagus cuman bahan yg dipakai menurut saya terlalu tipis, kalo aja ada perbaikan kulitas bahan / penambahan busa ini bakalan bagus banget",desain bagus cuman bahan yang pakai turut saya terlalu tipis kalo aja ada baik kulitas bahan tambah busa ini bakal bagus banget,positif
"model bagus sih, tapi keseluruhan jelek. Lidah sepatu panjang sebelah, yg kanan jauh lebih pendek. Bahan juga tipis. Ga bisa berharap terlalu banyak, kualitas sesuai harganya, murahan. Pengiriman juga lama banget, biasanya ngirim barang ke sulawesi seminggu sampe, ini bisa sampe tiga minggu.",model bagus sih tapi seluruh jelek lidah sepatu panjang belah yang kanan jauh lebih pendek bahan juga tipis tidak bisa harap terlalu banyak kualitas sesuai harga murah kirim juga lama banget biasa ngirim barang ke sulawesi minggu sampe ini bisa sampe tiga minggu,positif
"barang yang diterima tidak sesuai yang dipesan waktu cek out yang dipesan warna khaki 44 yang datang warna abu abu, waktu pengiriman lima hari dari waktu pesan baru dikirim di hari kelima bilangnya ready ,ini dipastikan barang sangat tidak ready dan janhitan banyak yang tidak presisi lubang jahitannya ( sepatu asal asalan pembuatannya, dan yang paling mengesalkan sudah masuk aplikasi ajukan komplain pengembalian barang tiba tiba aplikasi merespon batalkan komplain, apa aplikasi pas eror atau pas waktunya maintainen aplikasi. ini sangat menjengkelkan sudah order tidak sesuai cek out dan jahitan sepatunya asal asalan.😢",barang yang terima tidak sesuai yang pes waktu cek out yang pes warna khaki yang datang warna abu abu waktu kirim lima hari dari waktu pesan baru kirim di hari lima bilang ready ini pasti barang sangat tidak ready dan janhitan banyak yang tidak presisi lubang jahit sepatu asal asal buat dan yang paling kesal sudah masuk aplikasi aju komplain kembali barang tiba tiba aplikasi merespon batal komplain apa aplikasi pas eror atau pas waktu maintainen aplikasi ini sangat jengkel sudah order tidak sesuai cek out dan jahit sepatu asal asal,netral
Sebenarnya bagus banget.. Tapi sayang kurang teliti.. Jdi ada cacat di bagian belakang sepatu.. Jdi aq kash bintang empat..,benar bagus banget tapi sayang kurang teliti jdi ada cacat di bagi belakang sepatu jdi aq kash bintang empat,positif
Untuk harga rp130.000-an menurutku ini worth it untuk jalan doang karena ini emang fashion. Bahannya tipis wajar harga rp100.000-an dan untuk sol sepatunya kerasa banget murahnya batok sepatunya juga tipis itu kayak cuman karet tebel dikit tapi nggak berasa ada bobotnya,untuk harga rpan turut ini worth it untuk jalan doang karena ini emang fashion bahan tipis wajar harga rpan dan untuk sol sepatu rasa banget murah batok sepatu juga tipis itu kayak cuman karet tebel dikit tapi tidak asa ada bobot,positif
"Modelnya bagus,nyaman untuk di pakai dan ukurannya pas",model bagusnyaman untuk di pakai dan ukur pas,positif
"Bagian dalam tidak dijahit, shg tdk rapi. Sptnya ini memang bukan barang dg kualitas unggulan. wajar, krn harga murah",bagi dalam tidak jahit shg tidak rapi sptnya ini memang bukan barang dg kualitas unggul wajar krn harga murah,positif
No 42 kecil sempit,no kecil sempit,netral
sesuai hargalah 150rb berharap kualitas gimana,sesuai harga rb harap kualitas gimana,positif
"murah meriah, model keren, tapi sayang bahannya tipis. semoga kedepan bahannya di ganti yang lebih kuat.",murah riah model keren tapi sayang bahan tipis moga depan bahan di ganti yang lebih kuat,positif
"oke punya, minus kotak aja yang udah agak ancur",oke punya minus kotak aja yang udah agak ancur,netral
Sangat mengecewakan pesan barang dua ukurannya sudah pas tapi tingginya beda. Nganggur 1 sepatunya🤕,sangat kecewa pesan barang dua ukur sudah pas tapi tinggi beda nganggur sepatu,negatif
"Lumayan,cuma busax kurang tebal. Semoga awet",lumayancuma busax kurang tebal moga awet,netral
Ada harga ada kualitas and I will have a look at the same time as a result of the same time,ada harga ada kualitas and i will have a look at the same time as a result of the same time,netral
"Lumayan lah di harga segini, bahannya juga lembut",lumayan lah di harga gin bahan juga lembut,netral
Tipe ukuran yang dikirimkan tidak sesuai minta ukuran 44 dikirimkan 41 tipe dan warna sepatu juga tidak sesuai,tipe ukur yang kirim tidak sesuai minta ukur kirim tipe dan warna sepatu juga tidak sesuai,netral
"Quliatas Produk sesuai harga,pilih no ke besaran jadi GK dipake,buat kakak aja deh",quliatas produk sesuai hargapilih no ke besar jadi tidak dipakebuat kakak aja deh,positif
Pengiriman cepat Barang sesuai pesanan Kurir sudah langganan,kirim cepat barang sesuai pesan kurir sudah langgan,positif
"Merek Produk tidak sesuai dengan actual barang lihat foto itu, merek harus nya Leedoo tapi yg datang Fashion 🤦itu aja sih jujur dan Amanah itu penting dalam berdagang 🙏",merek produk tidak sesuai dengan actual barang lihat foto itu merek harus nya leedoo tapi yang datang fashion itu aja sih jujur dan amanah itu penting dalam dagang,netral
Bagus sesuai dg harganya jahitan rapi dan bagus,bagus sesuai dg harga jahit rapi dan bagus,positif
"Bobot ringan tpi tebell, tpi okelah sesuai deskripsi 👌🏻model kerenn sya pribadi suka!",bobot ringan tpi tebell tpi oke sesuai deskripsi model kerenn sya pribadi suka,positif
"salah kirim barang sudah ajukan komplain tapi tidak ada apa apa. pesan nya apa, dikirim nya apa. salah kode bagian pengambilan barang.",salah kirim barang sudah aju komplain tapi tidak ada apa apa pesan nya apa kirim nya apa salah kode bagi ambil barang,netral
Mengecewakan pesan dua ukuran sudah benar tapi barangnya beda tingginya🤕 Nganggur 1 sepatunya🤕,kecewa pesan dua ukur sudah benar tapi barang beda tinggi nganggur sepatu,negatif
Barang sudah diterima.. Cepat sampai mantap.. Tapi sayang knp tulisan leedoo di sepatu kanan terbalik .. Apa stelan pabriknya begitu,barang sudah terima cepat sampai mantap tapi sayang knp tulis leedoo di sepatu kanan balik apa stelan pabrik begitu,positif
"barang sudah diterima , sesuai iklannya, ukurannya pas",barang sudah terima sesuai iklan ukur pas,positif
Sudah diterimah cuma lem yg merekat agak merambat,sudah diterimah cuma lem yang rekat agak rambat,netral
"Kak maaf bintang 3 ya, jahitannya dan cuttingnya kurang rapi",kak maaf bintang ya jahit dan cuttingnya kurang rapi,netral
"Modelnya keren, tapi sayang, ukuran nya gk standard seperti sepatu kebanyakan. Ukuran 44 kekecilan.",model keren tapi sayang ukur nya tidak standard seperti sepatu banyak ukur kecil,netral
"melesek lamo lamo tapi lemak di tulukke, soalnyo tebelke lagi",melesek lamo lamo tapi lemak di tulukke soalnyo tebelke lagi,netral
jahitannya ada yg lepas. kurang real pic sma yg digambar lumayan harganya,jahit ada yang lepas kurang real pic sma yang gambar lumayan harga,netral
Bgus.. Dapat harga 141000 q salaha warna ternya nggk bisa di tukar warna padahal lsngsung chat toko..tpi nggk pp sich amsn..dengar harga segitu sepatunya ringan,bgus dapat harga q salaha warna ter nggk bisa di tukar warna padahal lsngsung chat tokotpi nggk pp sich amsndengar harga segitu sepatu ringan,netral
"Mungkin dari segi warna sih yang kurang sesuai, sisanya baguss",mungkin dari segi warna sih yang kurang sesuai sisa baguss,positif
Keren brg nya.. tp video emang lbh bagu... review jujur apa adanya,keren barang nya tp video emang lbh bagu review jujur apa ada,netral
Ukuran pas. Bagus lumayan dengan harga murah,ukur pas bagus lumayan dengan harga murah,positif
tepi pada sekitar tempat lubang tali tidak rapi.. ini sih sebentar juga bisa ngelupas klo tidak dilapisi sebagai penutup gabungan 2 bahannya,tepi pada sekitar tempat lubang tali tidak rapi ini sih sebentar juga bisa ngelupas klo tidak lapis bagai tutup gabung bahan,netral
Mas sepatux ko nda belakang sebelah kirikaya apa itu satu ada sarux nda ada bisa dikembalikankah atau ditukar ini kan kesalahan toko bukan kesalahan pembeli,mas sepatux ko nda belakang belah kirikaya apa itu satu ada sarux nda ada bisa kembali atau tukar ini kan salah toko bukan salah beli,netral
"Paket sudah diterima sesuai dengan pesanan, dan untuk waktu kirimannya cukup cepat dan memuaskan pelanggan",paket sudah terima sesuai dengan pesan dan untuk waktu kirim cukup cepat dan muas langgan,positif
seperti tidak asli merk leedoo,seperti tidak asli merk leedoo,netral
Barangnya sesuai kak.. Tapi udah di makan tikus sedikit. Mohon tanggapan nya🙏🙏,barang sesuai kak tapi udah di makan tikus sedikit mohon tanggap nya,positif
Terlalu kecil bukan ukurannya. Saya minta di tuker yang sesuai ukuran 43,terlalu kecil bukan ukur saya minta di tuker yang sesuai ukur,positif
Pengiriman cepat barang sesuai pesanan top markotop,kirim cepat barang sesuai pesan top markotop,positif
"Sesuai pesanan, kwalitas jg baik",sesuai pesan kwalitas jg baik,positif
Tidak ada bolongan untuk tali sepatu di ujungnya. Ini saya harus bolongin sendiri?,tidak ada bolong untuk tali sepatu di ujung ini saya harus bolongin sendiri,netral
Maap baru kasih ulasan sepatu nya bagus banget sesuai pesanan makasih buat tokonya barang relpik pengemasan rapi makasih buat tokonya dan Abang kulirnya,maap baru kasih ulas sepatu nya bagus banget sesuai pesan makasih buat toko barang relpik emas rapi makasih buat toko dan abang kulir,positif
Kenapa d ujung sepatu nggak ada safety nya,kenapa d ujung sepatu tidak ada safety nya,netral
1 Kecewa kwalitas sepatu tidak sesuai dengan yang ditawarkan 2. No Sepatu yg sy pesan 38 Yg datang 39 3 teramat sangat kecewa,kecewa kwalitas sepatu tidak sesuai dengan yang tawar no sepatu yang sy pesan yang datang amat sangat kecewa,negatif
jaitan rusak barang di kirim tidak di cek dulu barang rusak main kirim aja,jaitan rusak barang di kirim tidak di cek dulu barang rusak main kirim aja,negatif
"Kirain tinggi sepatunya nya sama eh rupa nya beda anjrit lah, malahan lebih pendek dari sepatu gua yang sebelumnya yang udh dekil Healah",kirain tinggi sepatu nya sama eh rupa nya beda anjrit lah malah lebih pendek dari sepatu gua yang belum yang udh dekil healah,netral
Brang Uda nyampek pas sesuai pesanan smoga amanah,brang uda nyampek pas sesuai pesan smoga amanah,positif
"Sepatunya penyok"" .sama ada benang tu kek nggak rapi jaitanya",sepatu penyok sama ada benang tu kek tidak rapi jaitanya,netral
"Bagus, ukuran pas, anak saya suka banget",bagus ukur pas anak saya suka banget,positif
"sebenarnya sy pesan yg 3/4, tp nggk apa2 tetap keren",benar sy pesan yang tp nggk apa tetap keren,netral
barang sudah di terima dengan baik recommend buat toko nya,barang sudah di terima dengan baik recommend buat toko nya,positif
Gak sesuai ukuran sampai nya ukuran 39 yg d pesan ukuran 42,gak sesuai ukur sampai nya ukur yang d pesan ukur,positif
Bentuk dan ukuran: Sesuai Warna: Sesuai,bentuk dan ukur sesuai warna sesuai,positif
Sepatu bagus pengirimannya cepat. Terimakasih 😊,sepatu bagus kirim cepat terimakasih,positif
"Alhamdulillah paket sadah sampe sesuai dengan gambar semoga awet di pake ,suami ku suka ☺️",alhamdulillah paket sadah sampe sesuai dengan gambar moga awet di pake suami ku suka,positif
"Bagus, pas bgt buat suami.. 🫶",bagus pas banget buat suami,positif
Pemesanan telah smpai sesuai dengan pesanan kurir.nya juga ramah,mesan telah smpai sesuai dengan pesan kurir juga ramah,positif
salah barangnya.. jangan pada beli disini deh saran saya pesennya apa yamg sampe apa.. bl*****k,salah barang jangan pada beli sini deh saran saya sen apa yamg sampe apa blk,netral
"Warna: Aga pudar, Bentuk dan ukuran: Cocok dan pas Secara keseluruhan oke meskipun warna aga kurang menarik, tapi dengan harga segitu cukup lah buat keseharian, semoga awet",warna aga pudar bentuk dan ukur cocok dan pas cara seluruh oke meski warna aga kurang tarik tapi dengan harga segitu cukup lah buat hari moga awet,netral
"Alhamdulillah paket mendarat dengan slamat , ,terimakasih, , pengiriman cepat kurir rmah",alhamdulillah paket darat dengan slamat terimakasih kirim cepat kurir rmah,netral
"Solnya aga tipis, pas dipake gatau kenapa kaki kerasa cepat panas",sol aga tipis pas dipake gatau kenapa kaki rasa cepat panas,positif
"desain keren. untuk harga segitu sudah bagus dibanding toko lain, cuma sayang bahannya tipis banget. ga langsung sol juga",desain keren untuk harga segitu sudah bagus banding toko lain cuma sayang bahan tipis banget tidak langsung sol juga,positif
"Bentuk dan ukuran: model sepatu nya keren tapi untuk ukurannya tolong di perbesar lagi,bila perlu sampai ukuran size 47,soal nya paling besar di toko 44,jadi kaki aku terasa sakit, begitu di pakai jalan..,tolong yaa untuk ukuran nya harus ada pilihan yg lebih besar lagi, bila perlu sampai ukuran paling besar 47",bentuk dan ukur model sepatu nya keren tapi untuk ukur tolong di besar lagibila perlu sampai ukur size soal nya paling besar di toko jadi kaki aku asa sakit begitu di pakai jalantolong yaa untuk ukur nya harus ada pilih yang lebih besar lagi bila perlu sampai ukur paling besar,netral
"walaupun nyampeny gepeng krn mungkin ketimpa paket lain tapi overall tidak ada kerusakan, model keren, ringan, bahan bagus.. belum dicoba utk kerja lapangan krn lg cuti lebaran..",walaupun nyampeny gepeng krn mungkin timpa paket lain tapi overall tidak ada rusa model keren ringan bahan bagus belum coba utk kerja lapang krn lg cuti lebaran,positif
jahitan nya kurang rapi bahan tipis ukuran pas,jahit nya kurang rapi bahan tipis ukur pas,netral
tidak sesuai peaanan.... order yg tinggi di kirim yg pendek..,tidak sesuai peaanan order yang tinggi di kirim yang pendek,netral
Agak sempit bagian depanya padahal udh no 42 biasanya sya pake no 41,agak sempit bagi depa padahal udh no biasa sya pake no,netral
final product lumayan ok buat harga segitu. agak berasa ringan kalo dipake. aemoga awet,final product lumayan ok buat harga segitu agak asa ringan kalo dipake aemoga awet,netral
Bentuk dan ukuran: Bagus Daya tahan pakai: Baik,bentuk dan ukur bagus daya tahan pakai baik,positif
Sayangnya terlalu ringan jg kurang tebal bahannya,sayang terlalu ringan jg kurang tebal bahan,netral
"Agak tipis kainx, sesuai harga Bentuk ok",agak tipis kainx sesuai harga bentuk ok,positif
"Biasa aku beli sepatu langsung ke toko, yg ku cari ukuran 43 itu uda pas & nyaman ku pakai tapi ini karna cod ku pilihlah ukuran 44 takot gak cocok kan, Eh begitu barang sampai betul gak cocok, ukuran 44 yg ku pakai masih kecil samaku, jempol kaki ku agak nekuk 😌😌",biasa aku beli sepatu langsung ke toko yang ku cari ukur itu uda pas nyaman ku pakai tapi ini karna cod ku pilih ukur takot gak cocok kan eh begitu barang sampai betul gak cocok ukur yang ku pakai masih kecil sama jempol kaki ku agak nekuk,netral
"Maaf baru konfirmasi,bagus modelnya cepet sampenya,cuma satu kulit sepatunya tahan lama ngak ya soalnya rd tipis bawahnya sesuai yang dividio ...",maaf baru konfirmasibagus model cepet sampenyacuma satu kulit sepatu tahan lama ngak ya soal rd tipis bawah sesuai yang dividio,positif
Bagus sesuai sma iklannya... Dengan harga segitu udah bagus bnget suka modelnya... Cuma kurangnya pas sampai tujuan sini sepatunya peyot2/penyok gtu krna di dlm sepatunya gk dikasih sumpelan atau semacam kertas atau plastik di dlm sepatunya kopong gtu jdi bikin sepatunya peyot2 gtu....,bagus sesuai sma iklan dengan harga segitu udah bagus bnget suka model cuma kurang pas sampai tuju sini sepatu peyotpenyok gtu krna di dlm sepatu tidak kasih sumpel atau macam kertas atau plastik di dlm sepatu kopong gtu jdi bikin sepatu peyot gtu,positif
Bentuk dan ukuran: Sesuai Daya tahan pakai: Lembut,bentuk dan ukur sesuai daya tahan pakai lembut,positif
barang bagus namun ukuran 40 disini terlalu besar dengan ukuran 40 yg sering saya beli,barang bagus namun ukur sini terlalu besar dengan ukur yang sering saya beli,positif
warnanya tidak sesuai dengan di gambar ukurannya pas bahanya lumayan pengemasan kurang baik pengantaran lama,warna tidak sesuai dengan di gambar ukur pas bahanya lumayan emas kurang baik antar lama,netral
"sesusai pesanan, kiriman cepat semoga awet",sesusai pesan kirim cepat moga awet,positif
leedoo model sepatunya modern dan enak dipakai pas ukurannya,leedoo model sepatu modern dan enak pakai pas ukur,netral
Mantap barangnya sayang ukuran 42 tapi kecil.,mantap barang sayang ukur tapi kecil,positif
Bagus banget tp yg belakang yg hitam lepas,bagus banget tp yang belakang yang hitam lepas,positif
"Barang bagus gaya terkini, kwalitas sesuai harga, Bahan bukan kulit asli",barang bagus gaya kini kwalitas sesuai harga bahan bukan kulit asli,positif
"Barang lumayan, cuma ukuran kurang besar. Tidak seperti ukuran produk sepatu lain walaupun ukuran angka sama.",barang lumayan cuma ukur kurang besar tidak seperti ukur produk sepatu lain walaupun ukur angka sama,netral
"Pesanan sdh sampai,..puas.. Bentuk dan ukuran: Bagus dan pas di kaki",pesan sdh sampaipuas bentuk dan ukur bagus dan pas di kaki,positif
"jahitan tidak bagus, kiri kanan beda jahitan",jahit tidak bagus kiri kanan beda jahit,positif
Bentuk dan ukuran: kekecilan lupa ga du lebihin 1 ukuran Daya tahan pakai: kayanya bakal awet,bentuk dan ukur kecil lupa tidak du lebihin ukur daya tahan pakai kaya bakal awet,netral
"ukuran 42 tapi jari kaki ngepres banget ya jd terasa sempit, selama ini dgn ukuran no 42 cukup longgar dan nyaman.",ukur tapi jari kaki ngepres banget ya jd asa sempit lama ini dgn ukur no cukup longgar dan nyaman,negatif
Bentuknya mantap Ukuran pas aroma oke dan semoga awet,bentuk mantap ukur pas aroma oke dan moga awet,positif
"Kurang besar padahal sudah saya ambil size 44. Panjang kako saya 26.5 Aroma: Biasa aja Daya tahan pakai: Belum tau, karena belum di pakai",kurang besar padahal sudah saya ambil size panjang kako saya aroma biasa aja daya tahan pakai belum tau karena belum di pakai,netral
"Paketnya sudah sampai, Alhamdulillah, barangnya bagus cuman ukurannya agak kekecilan dikit, padahal nomor yang paling besar saya pesan yaitu nomor 44, sepatu lain nomor 43 itu sudah pas di kaki saya, tapi yang saya pesan ini nomor 44 tapi masih agak sempit di kaki y, jd tlong sesuaikan nmr dgn ukura",paket sudah sampai alhamdulillah barang bagus cuman ukur agak kecil dikit padahal nomor yang paling besar saya pesan yaitu nomor sepatu lain nomor itu sudah pas di kaki saya tapi yang saya pesan ini nomor tapi masih agak sempit di kaki y jd tlong sesuai nmr dgn ukura,positif
"warnanya kurang sesuai, malah kayak udah pernah di pakai",warna kurang sesuai malah kayak udah pernah di pakai,positif
barang bagus yang sampai bagus,barang bagus yang sampai bagus,positif
"Ukuran pas,tapi bahan nya.katanya ORI. Ternyata ....?",ukur pastapi bahan nyakatanya ori nyata,netral
"Saya pesan nomor 39 tapi setelahnsepatu dipakai, serasa nomor 40",saya pesan nomor tapi setelahnsepatu pakai serasa nomor,netral
Sepatunya meleot meleot letoy kayak kurang gizi🙃,sepatu leot leot letoy kayak kurang gizi,netral
"Barang sdh diterima sesuai deskripsi , pengiriman cepat dan packing rapih. terima kasih",barang sdh terima sesuai deskripsi kirim cepat dan packing rapih terima kasih,positif
"Bentuk barang cukup bagus, sesuai dengan harga",bentuk barang cukup bagus sesuai dengan harga,positif
"Barang bagus , ukuran pas semoga awet . Belum tau kwalitasnya tanpa di sol lagi",barang bagus ukur pas moga awet belum tau kwalitasnya tanpa di sol lagi,netral
